Company,Target,Predicted
MSFT_stock_gdelt_final_train,238.94999618032307,260.5537686519629
AAPL_stock_gdelt_final_train,171.55999804208594,185.65366597222302
MSFT_stock_gdelt_final_train,423.04001298978625,450.46934604298445
AAPL_stock_gdelt_final_train,218.24000373519584,232.4334736994732
MSFT_stock_gdelt_final_train,335.9399989760587,360.1673305666009
MSFT_stock_gdelt_final_train,416.54000183673276,451.1872087989287
AAPL_stock_gdelt_final_train,227.17999393967943,244.10435945533573
MSFT_stock_gdelt_final_train,369.8500091431052,405.09009620560397
MSFT_stock_gdelt_final_train,308.26000820796986,321.9629647438815
AAPL_stock_gdelt_final_train,147.27000516765284,152.16916092117503
MSFT_stock_gdelt_final_train,253.91999805687556,268.08944820815583
MSFT_stock_gdelt_final_train,247.58000061672465,261.075125742219
AAPL_stock_gdelt_final_train,125.99999956792675,136.41112592100927
MSFT_stock_gdelt_final_train,370.86998813701945,404.59823094374593
MSFT_stock_gdelt_final_train,424.51999146193344,457.0542565307297
MSFT_stock_gdelt_final_train,291.6000089099817,304.4550601617885
MSFT_stock_gdelt_final_train,237.4499969719859,255.01651428037076
MSFT_stock_gdelt_final_train,303.58999696410325,322.67830136798153
MSFT_stock_gdelt_final_train,257.8900158840634,276.12102190214506
MSFT_stock_gdelt_final_train,264.57998530385345,299.15178114343513
AAPL_stock_gdelt_final_train,255.27000219641178,257.6772405248647
MSFT_stock_gdelt_final_train,220.1000060654792,244.5622926462329
AAPL_stock_gdelt_final_train,172.27999782386973,180.31468655721233
MSFT_stock_gdelt_final_train,399.11999446868873,439.2760710589683
MSFT_stock_gdelt_final_train,428.73998601365025,460.28253128633156
AAPL_stock_gdelt_final_train,148.55999769068382,156.4998311252837
MSFT_stock_gdelt_final_train,252.570008851073,271.22415717072096
AAPL_stock_gdelt_final_train,156.77000323321073,184.82978262129106
AAPL_stock_gdelt_final_train,158.92999407536414,169.55778403758046
AAPL_stock_gdelt_final_train,167.22999533901506,175.1887207536227
AAPL_stock_gdelt_final_train,145.92999258278064,153.03737994612996
MSFT_stock_gdelt_final_train,368.79999048497126,400.00167535296356
AAPL_stock_gdelt_final_train,142.94000246458194,160.38154098172478
AAPL_stock_gdelt_final_train,231.41000328665652,247.963943990755
MSFT_stock_gdelt_final_train,339.3200090365918,369.70364567275834
AAPL_stock_gdelt_final_train,143.85999958755073,155.29015768412887
MSFT_stock_gdelt_final_train,424.1400216666444,458.63871946819205
AAPL_stock_gdelt_final_train,189.71999726218667,202.38690510793796
AAPL_stock_gdelt_final_train,194.35000554313277,209.01564108223698
MSFT_stock_gdelt_final_train,284.9100052504528,308.0185343519225
AAPL_stock_gdelt_final_train,131.88000451752595,155.10987288155218
MSFT_stock_gdelt_final_train,309.1600035481152,333.4305076449346
AAPL_stock_gdelt_final_train,131.55999729231272,138.15131813280655
AAPL_stock_gdelt_final_train,175.53000085426496,158.3488004966396
AAPL_stock_gdelt_final_train,192.46000824174982,173.77037033199272
AAPL_stock_gdelt_final_train,159.69000140342294,172.65938500604898
AAPL_stock_gdelt_final_train,209.07001052982096,224.1887134611944
MSFT_stock_gdelt_final_train,366.67998759653716,395.13386494216326
AAPL_stock_gdelt_final_train,162.94999569138952,186.2079384262915
MSFT_stock_gdelt_final_train,333.999998199186,357.00958967303455
AAPL_stock_gdelt_final_train,138.3800052638177,161.51350369696937
MSFT_stock_gdelt_final_train,413.1199997612203,441.3872629212711
AAPL_stock_gdelt_final_train,182.32000848056236,194.0512286773589
AAPL_stock_gdelt_final_train,224.30999457331362,239.6891674637725
AAPL_stock_gdelt_final_train,182.8899990960101,195.1540594364848
AAPL_stock_gdelt_final_train,132.2299961444506,144.7310331710215
MSFT_stock_gdelt_final_train,277.66000685758087,296.1640519665162
MSFT_stock_gdelt_final_train,250.77999715245005,263.19369817045214
MSFT_stock_gdelt_final_train,240.97000191143934,258.8688995825242
MSFT_stock_gdelt_final_train,258.3500077534655,283.3809726457767
MSFT_stock_gdelt_final_train,253.80999718918974,269.13816575621337
MSFT_stock_gdelt_final_train,264.8900147259138,287.22026695444225
MSFT_stock_gdelt_final_train,284.47000177970955,300.6469316243093
AAPL_stock_gdelt_final_train,232.8699938685647,247.6247174124136
AAPL_stock_gdelt_final_train,139.22999555820363,145.91056702710256
MSFT_stock_gdelt_final_train,275.2300125912407,299.044968375878
AAPL_stock_gdelt_final_train,148.47999535293064,159.99559783393912
MSFT_stock_gdelt_final_train,272.2900098058663,295.06103019263907
MSFT_stock_gdelt_final_train,336.4400056869327,358.29983433895546
MSFT_stock_gdelt_final_train,343.7699957185942,373.4204530223033
MSFT_stock_gdelt_final_train,257.23998965961624,272.2446459563026
AAPL_stock_gdelt_final_train,160.6199961613615,169.11039678153054
MSFT_stock_gdelt_final_train,228.16999769756444,249.87267831260579
AAPL_stock_gdelt_final_train,127.4499967664641,131.6110685619984
MSFT_stock_gdelt_final_train,453.5499942623174,458.0684223778699
AAPL_stock_gdelt_final_train,175.7400043336177,182.94663039424427
AAPL_stock_gdelt_final_train,172.74999933482263,181.69914323188115
MSFT_stock_gdelt_final_train,333.13000447910605,353.9286675357908
AAPL_stock_gdelt_final_train,175.83999768971148,189.2708243345708
MSFT_stock_gdelt_final_train,414.01000470645164,437.54029891110264
AAPL_stock_gdelt_final_train,164.5099923841884,177.1910623060972
MSFT_stock_gdelt_final_train,262.63000554531305,280.9400444894964
MSFT_stock_gdelt_final_train,285.2999882671484,304.81377088366577
AAPL_stock_gdelt_final_train,178.44000351530684,173.78733421186917
AAPL_stock_gdelt_final_train,150.47000089100374,184.28887719437336
MSFT_stock_gdelt_final_train,287.23001386676884,309.2217644281737
AAPL_stock_gdelt_final_train,166.2299937524936,183.76635568138693
AAPL_stock_gdelt_final_train,179.30000419945947,181.29314954336934
MSFT_stock_gdelt_final_train,429.040002214304,456.88120128173983
AAPL_stock_gdelt_final_train,146.1000055222542,180.0055017771684
MSFT_stock_gdelt_final_train,334.75000065666615,367.6261457134861
MSFT_stock_gdelt_final_train,247.1799929653762,272.2964544856014
MSFT_stock_gdelt_final_train,259.89001609665144,276.9054010574328
MSFT_stock_gdelt_final_train,425.2699939194136,451.507175354087
MSFT_stock_gdelt_final_train,254.08000035653185,288.9806004083112
AAPL_stock_gdelt_final_train,193.60000647904116,208.65570071373062
MSFT_stock_gdelt_final_train,301.82998308113025,323.99866178643066
MSFT_stock_gdelt_final_train,300.209994512401,320.64166083040624
MSFT_stock_gdelt_final_train,245.71000488814298,265.0145294384575
AAPL_stock_gdelt_final_train,186.8600019081891,196.17320172155357
MSFT_stock_gdelt_final_train,321.17999322230213,341.3320654416712
MSFT_stock_gdelt_final_train,229.24999990479046,252.6780390315671
AAPL_stock_gdelt_final_train,164.77000317058545,157.41679898398883
AAPL_stock_gdelt_final_train,154.0899950698622,166.10513704564354
MSFT_stock_gdelt_final_train,426.28000534490644,454.72796302012654
MSFT_stock_gdelt_final_train,251.75999554463124,261.9945616452015
AAPL_stock_gdelt_final_train,157.35000636422464,168.9489635687714
MSFT_stock_gdelt_final_train,446.0199908939431,467.1050351263876
AAPL_stock_gdelt_final_train,152.36999370155698,166.4103678386486
MSFT_stock_gdelt_final_train,224.97000116183904,236.47933271305737
MSFT_stock_gdelt_final_train,424.82999044867034,460.4220772442314
MSFT_stock_gdelt_final_train,406.0199866421827,436.05115940660477
MSFT_stock_gdelt_final_train,410.3399916666713,447.11465817154027
AAPL_stock_gdelt_final_train,181.71000606724064,194.8543217093445
AAPL_stock_gdelt_final_train,135.39000026502262,151.57338223219583
MSFT_stock_gdelt_final_train,268.39999503071436,285.64141933415164
AAPL_stock_gdelt_final_train,237.32999771323514,251.1602705841978
AAPL_stock_gdelt_final_train,176.64999531841875,180.84830474350142
AAPL_stock_gdelt_final_train,258.2000086305912,257.35906786460555
MSFT_stock_gdelt_final_train,257.3800035606137,275.5161388711668
MSFT_stock_gdelt_final_train,370.9500178199633,398.53676236591133
MSFT_stock_gdelt_final_train,274.73000968478215,296.07143727733643
MSFT_stock_gdelt_final_train,369.67001464037463,398.00721817365417
AAPL_stock_gdelt_final_train,136.72000033432863,148.0294746684424
MSFT_stock_gdelt_final_train,427.9899835561701,455.05620798325623
MSFT_stock_gdelt_final_train,367.75000226216076,399.7183224918845
MSFT_stock_gdelt_final_train,287.92999587020137,315.52604601628633
MSFT_stock_gdelt_final_train,431.2000123353792,459.7444347681922
AAPL_stock_gdelt_final_train,196.88999579771658,209.4696353230809
MSFT_stock_gdelt_final_train,244.49000494868505,261.61981150787966
AAPL_stock_gdelt_final_train,190.6400007625539,206.61110677072676
AAPL_stock_gdelt_final_train,145.52000451703978,146.5411599342192
MSFT_stock_gdelt_final_train,288.29999048823817,305.99393098476145
AAPL_stock_gdelt_final_train,214.28999619295644,227.05403606869703
AAPL_stock_gdelt_final_train,123.98999769701432,164.60604025644125
MSFT_stock_gdelt_final_train,301.8800035351779,327.7923335452834
AAPL_stock_gdelt_final_train,122.15000132527726,122.17852423984397
AAPL_stock_gdelt_final_train,170.2899944115961,178.95613062344762
MSFT_stock_gdelt_final_train,456.73001381263026,460.99620918530496
MSFT_stock_gdelt_final_train,312.3099986518701,328.79671443594276
AAPL_stock_gdelt_final_train,225.00000357598748,246.69002888921594
AAPL_stock_gdelt_final_train,149.69999592797515,149.48718639330448
AAPL_stock_gdelt_final_train,179.58000175259818,175.698172851386
AAPL_stock_gdelt_final_train,143.96000569844142,149.78711969399725
MSFT_stock_gdelt_final_train,329.9100005226447,359.3078065977789
MSFT_stock_gdelt_final_train,398.8999927333171,427.89234703862536
AAPL_stock_gdelt_final_train,141.8600006661068,152.39342426346153
MSFT_stock_gdelt_final_train,328.6000033318215,359.73510332099255
AAPL_stock_gdelt_final_train,194.17000134608784,208.355240214766
AAPL_stock_gdelt_final_train,130.36000049040572,122.1748869969281
